name,telNum,neighborhood,address,hh_sun,hh_mon,hh_tues,hh_wed,hh_thurs,hh_fri,hh_sat
Adella,(212) 273-0737,Midtown West,"410 W 43rd St., New York, NY 10036",,,,,,,
Adrienne's Pizzabar,(212) 248-3838,Financial District,"54 Stone St., New York, NY 10004",,,,,,,
Agave,(212) 989-2100,West Village,"140 7th Ave. S, New York, NY 10014",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
Aged Restaurant and Bar,(718) 544-2433,Forest Hills,"107-02 70th Rd., Forest Hills, NY 11375",,,,,,,
Agozar,(212) 677-6773,East Village,"324 Bowery, New York, NY 10012",5PM-8PM,All Night,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM
Ai Fiori,(212) 613-8660,Midtown West,"400 5th Ave., New York, NY 10018",,,,,,,
Ainsworth Midtown,(212) 201-1228,Murray Hill,"45 E 33rd St., New York, NY 10016",,,,,,,
Ainsworth Park,(212) 673-2467,Gramercy,"111 E 18th St., New York, NY 10003",,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,
Alameda,noval,Greenpoint,"195 Franklin St., Brooklyn, NY 11222",,,,,,,
Albion,(212) 679-6716,Murray Hill,"575 2nd Ave., New York, NY 10016",,,,,,,
Alchemy,(718) 636-4385,Park Slope,"56 5th Ave., Brooklyn, NY 11217",,,,,,,
Alewife NYC,(718) 937-7494,Hunters Point,"5-14 51st Ave., Long Island City, NY 11101",,,,,,,
Alfie's,(212) 757-2390,Hell's Kitchen,"800 9th Ave., New York, NY 10019",,,,,,,
Alligator Lounge,(718) 599-4440,Williamsburg - North Side,"600 Metropolitan Ave., Brooklyn, NY 11211",,,,,,,
Allswell,(347) 799-2743,Williamsburg - North Side,"124 Bedford Ave., Brooklyn, NY 11211",,,,,,,
Almond,(212) 228-7557,Flatiron,"12 E 22nd St., New York, NY 10010",,,,,,,
Alobar,(718) 752-6000,Hunters Point,"42-42 Vernon Blvd., Long Island City, NY 11101",,,,,,,
Alpha Fusion,(212) 279-8887,Hell's Kitchen,"365 W 34th St., New York, NY 10001",5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM
Alphabet City Beer Company,(646) 422-7103,East Village,"96 Ave. C, New York, NY 10009",,,,,,,
Alta,(212) 505-7777,Greenwich Village,"64 W 10th St., New York, NY 10011",,,,,,,
Althouse 1848,(516) 341-0020,East Rockaway,"101 Althouse Ave., East Rockaway, NY 11518",,,,,,,
Altus Cafe,(212) 928-1367,Washington Heights,"4325 Broadway, Manhattan, NY 10033",,,,,,,
Amarachi,(718) 222-1010,Downtown Brooklyn,"189 Bridge St., Brooklyn, NY 11201",,,,,,,
Amaze,(212) 986-5555,Midtown East,"694 3rd Ave., New York, NY 10017",,3PM-9PM,3PM-9PM,3PM-9PM,3PM-9PM,3PM-9PM,
Amber West Village,(212) 477-5880,West Village,"135 Christopher St., New York, NY 10014",,,,,,,
Ambiance Wine & Hookah Lounge,(718) 698-6769,Bulls Head,"1949 Richmond Ave., Bulls Head, NY 10314",,,,,,,
Amelie,(212) 533-2962,Greenwich Village,"22 W 8th St., New York, NY 10011",,,,,,,
American Retro,(212) 245-2203,Hell's Kitchen,"714 11th Ave., New York, NY 10019",,,,,,,
American Table Cafe & Bar,(212) 671-4200,Upper West Side,"1941 Broadway, New York, NY 10023",,,,,,,
American Trash,(212) 988-9008,Upper East Side,"1471 First Ave., New York, NY 10075",All Day,All Day|5PM-8PM,All Day|5PM-8PM,All Day|5PM-8PM,All Day|5PM-8PM,All Day|5PM-8PM,All Day
American Whiskey,(212) 967-1070,Midtown West,"247 W 30th St., New York, NY 10001",,,,,,,
Amigos,(212) 864-1143,Morningside Heights,"2888 Broadway, New York, NY 10025",,,,,,,
Amity Hall,(212) 677-2290,Greenwich Village,"80 W 3rd St., New York, NY 10012",12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM
Amor y Amargo,(212) 614-6818,East Village,"443 E 6th St., New York, NY 10009",,,,,,,
Ampersand,(212) 477-8100,Gramercy,"294 3rd Ave., New York, NY 10010",,,,,,,
Amsterdam Ale House,(212) 362-7260,Upper West Side,"340 Amsterdam Ave., New York, NY 10024",,,,,,,
Amsterdam Billiards,(212) 995-0333,East Village,"110 E 11th St., New York, NY 10003",,,,,,,
An Beal Bocht Cafe,(718) 884-7127,Kingsbridge,"445 W 238th St., Bronx, NY 10463",,,,,,,
Analogue,(212) 432-0200,Greenwich Village,"19 W 8th St., New York, NY 10011",,,,,,,
Anassa Taverna,(212) 371-5200,Upper East Side,"200 E 60th St., New York, NY 10022",,,,,,,
Anejo,(212) 920-4770,Hell's Kitchen,"668 10th Ave., New York, NY 10036",5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,4PM-7PM|11PM-Close,4PM-7PM|11PM-Close
Anfora,(212) 518-2722,West Village,"34 8th Ave., New York, NY 10014",,,,,,,
Angelo's Coal Oven Pizzeria,(212) 333-4333,Midtown West,"117 W 57th St., New York, NY 10019",,,,,,,
Angel's Share,(212) 777-5415,East Village,"8 Stuyvesant St., New York, NY 10003",,,,,,,
Ann & Tony's Restaurant,(718) 933-1469,Belmont,"2407 Arthur Ave., Bronx, NY 10458",,,,,,,
Annabel,(212) 245-2215,Theater District,"809 9th Ave., New York, NY 10019",,,,,,,
Annie Moore's Bar & Restaurant,(212) 986-7826,Midtown East,"22 East 41st St., New York, NY 10017",,,,,,,
Annisa,(212) 741-6699,West Village,"13 Barrow St., New York, NY 10014",,,,,,,
Anotheroom,(212) 226-1418,TriBeCa,"249 W Broadway, New York, NY 10013",,,,,,,
Antique Garage,(212) 219-1019,SoHo,"41 Mercer St., New York, NY 10013",,,,,,,
Antler Beer And Wine Dispensary,(212) 432-5000,Lower East Side,"123 Allen St., New York, NY 10002",,,,,,,
Anyway Cafe,(718) 934-5988,Sheepshead Bay,"1602 Gravesend Neck Rd., Brooklyn, NY 11229",,,,,,,
AOA Bar & Grill,(212) 925-1600,TriBeCa,"35 Ave. of the Americas, New York, NY 10013",,,,,,,
A.O.C.,(212) 675-9463,West Village,"314 Bleecker St., New York, NY 10014",,,,,,,
AOC East,(646) 998-5749,Upper East Side,"1590 First Ave., New York, NY 10028",,,,,,,
Applebee's,(718) 943-7404,Astoria,"3801 35th Ave., Long Island City, NY 11101",,,,,,,
Aquagrill,(212) 274-0505,South Village,"210 Spring St., New York, NY 10012",,,,,,,
AquaMarina,(212) 928-0070,Washington Heights,"4060 Broadway, New York, NY 10032",,,,,,,
Arabesque Restaurant,(212) 532-2210,Midtown East,"4 E 36th St., New York, NY 10016",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
Ardesia,(212) 247-9191,Hell's Kitchen,"510 W 52nd St., New York, NY 10019",,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,
Aretsky's Patroon,(212) 883-7373,Midtown East,"160 E 46th St., New York, NY 10017",,,,,,,
Aria West Village,(212) 242-4233,West Village,"117 Perry St., New York, NY 10014",,,,,,,
Arirang Hibachi Steakhouse,(718) 238-9880,Bay Ridge,"8814 4th Ave., Brooklyn, NY 11209",,,,,,,
Arlene's Grocery,(212) 358-1633,Lower East Side,"95 Stanton St., New York, NY 10002",,,,,,,
Arno Ristorante,(212) 944-7420,Midtown West,"141 W 38th St., New York, NY 10018",,,,,,,
Arriba Arriba,(212) 489-0810,Hell's Kitchen,"762 9th Ave., New York, NY 10019",,,,,,,
Art Bar,(212) 727-0244,West Village,"52 8th Ave., New York, NY 10014",4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM
Arte Cafe,(212) 501-7014,Upper West Side,"106 W 73rd St., New York, NY 10023",,,,,,,
Artichoke Basille's Pizza,(212) 228-2004,Gramercy,"328 E 14th St., New York, NY 10003",,,,,,,
Artifakt Bar & Lounge,(212) 226-6288,SoHo,"54 Watts St., New York, NY 10013",5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM
Arts and Crafts Beer Parlor,(646) 678-5263,Greenwich Village,"26 W 8th St., New York, NY 10011",,,,,,,
Asellina Ristorante,(212) 317-2908,Midtown East,"420 Park Ave. South, New York, NY 10014",4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM
Ashton's Alley,(212) 688-8625,Midtown East,"825 3rd Ave., New York, NY 10022",,,,,,,
Asia de Cuba,(212) 726-7755,NoHo,"415 Lafayette St., New York, NY 10003",,,,,,,
Asia Kan,(212) 280-8878,Upper West Side,"710 Amsterdam Ave., New York, NY 10025",,,,,,,
Asia Roma,(212) 385-1133,Chinatown,"40 Mulberry St., New York, NY 10013",,,,,,,
Astoria Craft,(718) 278-4300,Astoria,"1801 26th Rd., Astoria, NY 11102",,,,,,,
At nine Restaurant & Bar,(212) 265-4499,Theater District,"592 9th Ave., New York, NY 10036",,,,,,,
At the Wallace,(212) 234-6896,Harlem,"3612 Broadway, New York, NY 10031",,,,,,,
Atlantic Grill,(212) 988-9200,Upper East Side,"1341 3rd Ave., New York, NY 10021",,,,,,,
Atlas Social Club,(212) 262-8527,Theater District,"753 9th Ave., New York, NY 10019",,,,,,,
Atrium DUMBO,(718) 858-1095,DUMBO,"15 Main St., Brooklyn, NY 11201",,,,,,,
Attaboy,noval,Lower East Side,"134 Eldridge St., New York, NY 10002",,,,,,,
"Atwood, Kitchen & Bar Room",(212) 371-2233,Midtown East,"986 2nd Ave., New York, NY 10022",,,,,,,
Augurs Well,noval,East Village,"115 St. Marks Pl, New York, NY 10009",,,,,,,
Aureole,(212) 319-1660,Theater District,"135 W 42nd St., New York, NY 10036",,,,,,,
Austin Public,(718) 575-0070,Forest Hills,"70-28 Austin St., Forest Hills, NY 11375",,,,,,,
Austin's Ale House,(718) 849-3939,Kew Gardens,"8270 Austin St., Kew Gardens, NY 11415",,,,,,,
Austin's Steak & Ale House,(718) 849-3939,Kew Gardens,"82-70 Austin St., Kew Gardens, NY 11415",,10PM-2AM,7PM-11PM,7PM-10PM,8PM-11PM,,10PM-2AM
Automatic Slims,(212) 645-8660,West Village,"733 Washington St., New York, NY 10014",,,,,,,
Ayza Wine & Chocolate Bar,(212) 714-2992,Midtown West,"11 W 31st St., New York, NY 10001",,3PM-6PM,3PM-6PM,3PM-6PM,3PM-6PM,3PM-6PM,
Aziza Cafe & Lounge,(212) 777-3778,East Village,"45 1st Ave., New York, NY 10003",,,,,,,
B Bar & Grill,(212) 475-2220,NoHo,"40 E 4th St., New York, NY 10003",,,,,,,
B. Cafe,(212) 249-3300,Upper East Side,"240 E 75th St., New York, NY 10021",,,,,,,
B Flat,(212) 219-2970,TriBeCa,"277 Church St., New York, NY 10013",5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM
B Side,(212) 475-4600,East Village,"204 Ave. B, New York, NY 10009",,,,,,,
Baby Bo's Cantina,(212) 779-2656,Murray Hill,"627 2nd Ave., New York, NY 10016",,,,,,,
Bagatelle,(212) 488-2110,Meatpacking District,"1 Little W 12th St., New York, NY 10014",,,,,,,
Bahama Breeze,(201) 368-5860,Paramus,"1600 Bergen Town Ctr, Paramus, NJ 07652",,,,,,,
Bailey's Corner Pub,(212) 650-1341,Upper East Side,"1607 York Ave., New York, NY 10028",,,,,,,
Bait & Hook,(212) 260-8015,Gramercy,"231 2nd Ave., New York, NY 10003",,,,,,,
Baker & Co,(212) 255-1234,West Village,"259 Bleecker St., New York, NY 10014",4pm-7-pm,4pm-7-pm,4pm-7-pm,4pm-7-pm,4pm-7-pm,4pm-7-pm,4pm-7-pm
Balboa Restaurant,(718) 467-3765,Crown Heights,"1655 Bedford Ave., Brooklyn, NY 11225",,,,,,,
Balon,(646) 641-2282,Upper East Side,"245 E 81st St., New York, NY 10028",,,,,,,
Balthazar Restaurant,(212) 965-1414,SoHo,"80 Spring St., New York, NY 10012",,,,,,,
Balzem,(646) 837-7033,Nolita,"202 Mott St., New York, NY 10012",,,,,,,
Bamboo Bar and Grill,(516) 379-7777,Freeport,"153 Woodcleft Ave., Freeport, NY 11520",,,,,,,
Banc Cafe,(212) 252-0146,Kips Bay,"431 3rd Ave., New York, NY 10016",,,,,,,
Bangia,(212) 679-6790,Midtown East,"11 E 32nd St., New York, NY 10016",,,,,,,
Bann Restaurant,(212) 582-4446,Theater District,"350 W 50th St., New York, NY 10019",,,,,,,
Bar 13,(212) 979-6677,Greenwich Village,"35 E 13th St., New York, NY 10003",7PM-2AM,5PM-11PM,5PM-9PM,5PM-9PM,5PM-9PM,5PM-9PM,5PM-9PM
Bar 43,(718) 361-3090,Sunnyside,"4306 43rd St., Sunnyside, NY 11104",,12PM-7PM|6PM-8PM,12PM-7PM|4PM-9PM,12PM-7PM|6PM-8PM,12PM-7PM|9PM-12AM,12PM-7PM,
Bar 515,(212) 532-3300,Murray Hill,"515 3rd Ave., New York, NY 10016",,,,,,,
Bar 718,(718) 499-2661,South Slope,"718 5th Ave., Brooklyn, NY 11232",,,,,,,
Bar 9,(212) 399-9336,Hell's Kitchen,"807 9th Ave, New York, NY 10019",12PM-5PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,5PM-7PM,
Bar Bacon,(646) 362-0622,Midtown West,"836 9th Ave., New York, NY 10019",,,,,,,
Bar Basso,(212) 510-8356,Midtown West,"235 W 56 St., New York, NY 10019",,,,,,,
Bar Belly,(646) 596-9142,Chinatown,"14B Orchard St., New York, NY 10002",,,,,,,
Bar BQ,(203) 316-0278,Stamford,"15 Clark St., Stamford, CT 06901",,,,,,,
Bar Bruno,(347) 763-0850,Carroll Gardens,"520 Henry St., Brooklyn, NY 11231",,,,,,,
Bar-Coastal,(212) 288-6635,Upper East Side,"1495 1st Ave., New York, NY 10075",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
Bar Cyrk,(212) 321-2975,TriBeCa,"88 Thomas St., New York, NY 10013",,,,,,,
Bar Goto,(212) 475-4411,Lower East Side,"245 Eldridge St., New York, NY 10002",,,,,,,
Bar Great Harry,(718) 222-1103,Carroll Gardens,"280 Smith St., Brooklyn, NY 11226",,2PM-7PM,2PM-7PM,2PM-7PM,2PM-7PM,2PM-7PM,
Bar Jamon,(212) 253-2773,Gramercy,"125 E 17th St., New York, NY 10003",,,,,,,
Bar Lunatico,(718) 513-0339,Bedford Stuyvesant,"486 Halsey St., Brooklyn, NY 11233",,,,,,,
Bar Matchless,(718) 383-5333,Greenpoint,"557 Manhattan Ave., Brooklyn, NY 11222",,,,,,,
Bar None,(212) 777-6663,East Village,"98 3rd Ave., New York, NY 10003",12PM-8PM|11PM-12AM,12PM-8PM|8PM-Close,12PM-8PM|8PM-Close,12PM-8PM|8PM-Close,12PM-8PM|11PM-12AM,12PM-8PM|11PM-12AM,12PM-8PM|11PM-12AM
Bar Paulette,(718) 852-8582,Fort Greene,"136 Dekalb Ave., Brooklyn, NY 11217",,,,,,,
Bar Pleiades,(212) 772-2600,Upper East Side,"20 E. 76th St., Manhattan, NY 10021",,,,,,,
Bar Prima,(646) 918-6917,Upper East Side,"331 E 81st St., New York, NY 10028",,,,,,,
Bar San Miguel,(718) 855-2490,Gowanus,"307 Smith St., New York, NY 11231",,,,,,,
Bar Sardine,(646) 360-3705,West Village,"183 W 10th St., New York, NY 10014",,,,,,,
Bar Veloce,(212) 260-3200,East Village,"175 2nd Ave., New York, NY 10003",3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM
Bar Virage,(212) 253-0425,East Village,"118 2nd Ave., New York, NY 10003",,,,,,,
BarBacon,(646) 362-0622,Hell's Kitchen,"836 9th Ave., New York, NY 10019",,,,,,,
Barboncino,(718) 483-8834,Crown Heights,"781 Franklin Ave., Brooklyn, NY 11238",,,,,,,
Barbounia,(212) 995-0242,Gramercy,"250 Park Ave. S, New York, NY 10003",9AM-4PM|3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,9AM-4PM|3PM-7PM
Barcade,(718) 302-6464,Williamsburg - North Side,"388 Union Ave., Brooklyn, NY 11224",12PM-5PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,12PM-5PM
Barcelona Bar,(212) 245-3212,Hell's Kitchen,"923 8th Ave., New York, NY 10019",,,,,,,
Barcelona Bites,(844) 737-2483,Kingsbridge,"220 W 242nd St., Bronx, NY 10471",,,,,,,
Barcibo Enoteca,(212) 595-2805,Upper West Side,"2020 Broadway, New York, NY 10023",,,,,,,
Barfly NY,(212) 473-9660,Gramercy,"244 3rd Ave., New York, NY 10010",,,,,,,
Barking Dog,(212) 831-1800,Upper East Side,"1678 3rd Ave., New York, NY 10129",,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7:30PM,
BarKogi,(212) 308-8810,Midtown East,"957 2nd Ave., New York, NY 10022",,,,,,,
Bar'Lees Wine & Whisky Bar,(914) 630-7512,Mamaroneck,"157 Mamaroneck Ave., Mamaroneck, NY 10543",,,,,,,
Barley,(718) 349-0022,Greenpoint,"1025 Manhattan Ave., Brooklyn, NY 11222",4PM-7PM|12AM-2AM,4PM-7PM|12AM-2AM,4PM-7PM|12AM-2AM,4PM-7PM|12AM-2AM,4PM-7PM|12AM-2AM,4PM-7PM|12AM-2AM,4PM-7PM|12AM-2AM
Barley and Grain,(646) 360-3231,Upper West Side,"421 Amsterdam Ave., New York, NY 10024",4PM-7PM|11PM-Close,4PM-7PM|11PM-Close,4PM-7PM|11PM-Close,4PM-7PM|11PM-Close,4PM-7PM|11PM-Close,4PM-7PM|11PM-Close,4PM-7PM|11PM-Close
Barleycorn,(212) 933-0039,TriBeCa,"23 Park Pl, New York, NY 10007",,,,,,,
Barn Joo,(646) 398-9663,Flatiron,"893 Broadway, New York, NY 10003",,,,,,,
Baron's,(718) 230-7100,Bedford Stuyvesant,"564 Dekalb Ave., Brooklyn, NY 11205",,,,,,,
Barraca,(212) 462-0080,West Village,"81 Greenwich Ave., New York, NY 10014",,,,,,,
Barracuda,(212) 645-8613,Chelsea,"275 W 22nd St., New York, NY 10011",,,,,,,
Barrage,(212) 586-9390,Midtown West,"401 W 47th St., New York, NY 10036",,,,,,,
Barrio 47,(212) 255-3900,West Village,"47 8th Ave., New York, NY 10014",,,,,,,
Barrio Chino,(212) 228-6710,Lower East Side,"253 Broome St., New York, NY 10002",,,,,,,
Barrique Kitchen & Wine Bar,(631) 321-1175,Babylon,"69 Deer Park Ave., Babylon, NY 11702",,,,,,,
Barrow Street Ale House,(212) 691-6127,West Village,"15 Barrow St., New York, NY 10014",11AM-4AM,11AM-4AM,11AM-4AM,11AM-4AM,11AM-4AM,11AM-7PM,11AM-7PM
Barrow's Pub,(212) 741-9349,West Village,"463 Hudson St., New York, NY 10014",,,,,,,
Bartaco,(914) 937-8226,Port Chester,"1 Willett Ave., Port Chester, NY 10573",,,,,,,
Barzola Queens,(718) 205-6900,Jackson Heights,"9212 37th Ave., Jackson Heights, NY 11372",,,,,,,
Basik,(347) 889-7597,Williamsburg - North Side,"323 Graham Ave., Brooklyn, NY 11211",,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,
Bathtub Gin,(646) 559-1671,Chelsea,"132 9th Ave., New York, NY 10011",,,,,,,
Battersby,(718) 852-8321,Cobble Hill,"255 Smith St., Brooklyn, NY 11231",,,,,,,
Battery Harris,(718) 384-8900,Williamsburg - North Side,"64 Frost St., Williamsburg, NY 11211",,,,,,,
Bavaria Bier Haus,(212) 480-8142,Financial District,"19 S William St., New York, NY 10004",,,,,,,
Bayard's Ale House,(212) 989-0313,West Village,"533 Hudson St., New York, NY 10014",,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,
Bayridge Sushi,(718) 491-0662,Bay Ridge,"6914 3rd Ave., Brooklyn, NY 11219",,,,,,,
BayVue,(631) 991-3370,Lindenhurst,"854 S Wellwood Ave., Lindenhurst, NY 11757",,3PM-6PM,3PM-6PM,3PM-6PM,3PM-6PM,3PM-6PM,
Bea,(212) 602-1910,Theater District,"403 W 43rd St., New York, NY 10036",,,,,,,
Beans and Vines,(718) 544-2326,Inwood,"4842 Broadway, New York, NY 10034",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,,
Beauty Bar,(212) 539-1389,Gramercy,"231 E 14th St., New York, NY 10003",,,,,,,
Beauty & Essex,(212) 614-0146,Lower East Side,"146 Essex St., New York, NY 10002",,,,,,,
Beckett's Bar & Grill,(212) 269-1001,Financial District,"81 Pearl St., New York, NY 10004",,,,,,,
Beco,(718) 599-1645,Williamsburg,"45 Richardson St., Brooklyn, NY 11211",4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM
Bedford Falls,(212) 717-8181,Upper East Side,"206 E 67th St., Manhattan, NY 10065",,,,,,,
Beer Authority,(212) 510-8415,Hell's Kitchen,"300 W 40th St., New York, NY 10018",,,,,,,
Beer Culture,(646) 590-2139,Hell's Kitchen,"328 W 45th St., New York, NY 10036",,,,,,,
Beija Flor,(718) 606-2468,Long Island City,"38-02 29th St., Long Island City, NY 11101",,,,,,,
Belgian Beer Cafe,(212) 575-2337,Flatiron,"220 5th Ave., New York, NY 10001",,,,,,,
Bell Book & Candle,(212) 414-2355,West Village,"141 W 10th St., New York, NY 10014",,,,,,,
Belle Reve,(212) 680-0101,TriBeCa,"305 Church St., New York, NY 10013",,,,,,,
Bemelmans Bar,(212) 744-1600,Upper East Side,"35 E 76th St., New York, NY 10021",,,,,,,
Benash Delicatessen,(212) 265-1818,Midtown West,"857 7th Ave., New York, NY 10019",,,,,,,
Bengal Tiger Indian Food,(212) 265-2703,Midtown West,"58 W 56th St., New York, NY 10019",,,,,,,
Benny's Burritos,(212) 633-9210,West Village,"113 Greenwich Ave., New York, NY 10014",,,,,,,
